iter	Passed	Remaining
347	1222	2290
348	1225	2285
349	1228	2281
350	1232	2277
351	1235	2275
352	1239	2271
353	1242	2267
354	1246	2264
355	1249	2260
356	1252	2256
357	1256	2252
358	1259	2249
359	1263	2245
360	1266	2241
361	1269	2237
362	1272	2233
363	1276	2230
364	1278	2224
365	1282	2222
366	1286	2218
367	1289	2214
368	1293	2211
369	1296	2207
370	1299	2203
371	1302	2199
372	1305	2195
373	1309	2191
374	1312	2187
375	1316	2184
376	1319	2180
377	1322	2176
378	1326	2172
379	1329	2168
380	1332	2165
381	1335	2161
382	1339	2157
383	1342	2153
384	1346	2150
385	1349	2147
386	1353	2143
387	1356	2139
388	1359	2135
389	1363	2132
390	1366	2128
391	1370	2125
392	1373	2121
393	1377	2118
394	1381	2115
395	1384	2112
396	1388	2108
397	1392	2105
398	1395	2102
399	1399	2098
400	1402	2095
401	1406	2091
402	1408	2086
403	1412	2083
404	1414	2078
405	1417	2074
406	1421	2071
407	1424	2066
408	1427	2063
409	1430	2059
410	1434	2055
411	1438	2052
412	1454	2067
413	1472	2083
414	1480	2086
415	1485	2085
416	1491	2084
417	1496	2083
418	1500	2080
419	1503	2076
420	1507	2073
421	1511	2070
422	1519	2072
423	1522	2068
424	1526	2064
425	1530	2061
426	1533	2057
427	1536	2053
428	1539	2049
429	1543	2045
430	1546	2041
431	1549	2037
432	1553	2033
433	1556	2029
434	1559	2025
435	1563	2022
436	1566	2018
437	1569	2014
438	1573	2010
439	1577	2007
440	1581	2004
441	1584	2000
442	1588	1996
443	1591	1992
444	1594	1988
445	1597	1984
446	1600	1980
447	1603	1975
448	1606	1971
449	1610	1968
450	1613	1964
451	1617	1960
452	1620	1956
453	1623	1952
454	1627	1948
455	1630	1944
456	1633	1941
457	1636	1936
458	1640	1932
459	1643	1928
460	1646	1924
461	1649	1920
462	1652	1917
463	1656	1913
464	1658	1908
465	1662	1905
466	1666	1901
467	1669	1897
468	1671	1892
469	1675	1889
470	1678	1885
471	1682	1881
472	1685	1878
473	1689	1874
474	1692	1870
475	1696	1867
476	1699	1863
477	1703	1860
478	1705	1855
479	1709	1851
480	1712	1848
481	1716	1844
482	1719	1840
483	1723	1837
484	1726	1833
485	1729	1829
486	1733	1825
487	1736	1821
488	1739	1817
489	1742	1813
490	1745	1809
491	1749	1806
492	1751	1801
493	1755	1797
494	1758	1793
495	1761	1790
496	1764	1786
497	1768	1782
498	1772	1779
499	1776	1776
500	1779	1772
501	1782	1768
502	1786	1764
503	1789	1761
504	1793	1757
505	1796	1753
506	1799	1749
507	1802	1746
508	1806	1742
509	1809	1738
510	1812	1734
511	1815	1730
512	1819	1727
513	1822	1723
514	1825	1719
515	1829	1716
516	1832	1712
517	1836	1708
518	1839	1704
519	1842	1700
520	1845	1696
521	1848	1693
522	1852	1689
523	1854	1684
524	1857	1680
525	1861	1677
526	1865	1673
527	1868	1670
528	1872	1666
529	1874	1662
530	1877	1658
531	1881	1654
532	1883	1650
533	1887	1646
534	1890	1643
535	1893	1639
536	1896	1635
537	1898	1630
538	1902	1627
539	1905	1623
540	1909	1619
541	1912	1615
542	1915	1611
543	1919	1608
544	1923	1605
545	1926	1602
546	1930	1598
547	1933	1594
548	1936	1591
549	1940	1587
550	1943	1583
551	1947	1580
552	1950	1576
553	1953	1573
554	1957	1569
555	1960	1565
556	1964	1562
557	1967	1558
558	1970	1554
559	1974	1551
560	1978	1547
561	1981	1544
562	1985	1540
563	1988	1537
564	1992	1533
565	1995	1530
566	1998	1526
567	2001	1522
568	2004	1518
569	2008	1515
570	2011	1511
571	2015	1508
572	2019	1504
573	2022	1501
574	2025	1497
575	2029	1493
576	2032	1490
577	2036	1486
578	2039	1482
579	2042	1479
580	2046	1475
581	2049	1471
582	2053	1468
583	2056	1464
584	2060	1461
585	2063	1457
586	2067	1454
587	2071	1451
588	2074	1447
589	2078	1444
590	2081	1440
591	2084	1436
592	2088	1433
593	2091	1429
594	2094	1425
595	2097	1422
596	2101	1418
597	2104	1414
598	2108	1411
599	2112	1408
600	2115	1404
601	2119	1401
602	2122	1397
603	2126	1394
604	2130	1390
605	2133	1387
606	2137	1383
607	2140	1380
608	2142	1375
609	2146	1372
610	2149	1368
611	2153	1365
612	2156	1361
613	2159	1357
614	2162	1353
615	2166	1350
616	2169	1347
617	2173	1343
618	2176	1339
619	2179	1336
620	2183	1332
621	2186	1328
622	2190	1325
623	2193	1321
624	2196	1318
625	2200	1314
626	2204	1311
627	2207	1307
628	2210	1303
629	2214	1300
630	2218	1297
631	2221	1293
632	2224	1289
633	2228	1286
634	2231	1282
635	2234	1279
636	2238	1275
637	2241	1271
638	2245	1268
639	2249	1265
640	2253	1262
641	2257	1258
642	2260	1255
643	2264	1251
644	2267	1248
645	2271	1244
646	2274	1241
647	2277	1237
648	2280	1233
649	2284	1230
650	2287	1226
651	2290	1222
652	2294	1219
653	2297	1215
654	2301	1212
655	2305	1208
656	2308	1205
657	2311	1201
658	2314	1197
659	2317	1194
660	2321	1190
661	2325	1187
662	2328	1183
663	2332	1180
664	2335	1176
665	2338	1172
666	2342	1169
667	2345	1165
668	2349	1162
669	2353	1159
670	2357	1156
671	2361	1152
672	2365	1149
673	2369	1145
674	2372	1142
675	2376	1138
676	2379	1135
677	2383	1131
678	2387	1128
679	2390	1124
680	2394	1121
681	2397	1118
682	2401	1114
683	2404	1111
684	2407	1107
685	2411	1103
686	2414	1100
687	2418	1096
688	2422	1093
689	2425	1089
690	2429	1086
691	2433	1083
692	2437	1079
693	2439	1075
694	2443	1072
695	2446	1068
696	2450	1065
697	2454	1062
698	2458	1058
699	2461	1054
700	2464	1051
701	2468	1047
702	2471	1044
703	2475	1040
704	2479	1037
705	2482	1033
706	2486	1030
707	2489	1026
708	2493	1023
709	2496	1019
710	2500	1016
711	2503	1012
712	2507	1009
713	2511	1006
714	2515	1002
715	2519	999
716	2522	995
717	2526	992
718	2530	988
719	2533	985
720	2537	981
721	2540	978
722	2544	974
723	2548	971
724	2551	967
725	2555	964
726	2558	960
727	2562	957
728	2566	953
729	2569	950
730	2573	946
731	2577	943
732	2581	940
733	2584	936
734	2588	933
735	2591	929
736	2595	926
737	2598	922
738	2602	919
739	2605	915
740	2609	912
741	2613	908
742	2616	905
743	2620	901
744	2624	898
745	2627	894
746	2631	891
747	2635	887
748	2638	884
749	2642	880
750	2646	877
751	2650	874
752	2654	870
753	2657	867
754	2661	863
755	2665	860
756	2668	856
757	2672	853
758	2675	849
759	2679	846
760	2683	842
761	2686	839
762	2690	835
763	2693	832
764	2697	828
765	2701	825
766	2704	821
767	2708	818
768	2710	814
769	2714	810
770	2717	807
771	2721	803
772	2724	800
773	2730	797
774	2733	793
775	2737	790
776	2741	786
777	2744	783
778	2748	779
779	2752	776
780	2755	772
781	2758	769
782	2762	765
783	2765	761
784	2769	758
785	2772	754
786	2776	751
787	2779	747
788	2783	744
789	2786	740
790	2790	737
791	2793	733
792	2796	730
793	2800	726
794	2803	722
795	2807	719
796	2810	715
797	2814	712
798	2817	708
799	2821	705
800	2824	701
801	2828	698
802	2831	694
803	2834	691
804	2838	687
805	2841	683
806	2845	680
807	2849	677
808	2852	673
809	2855	669
810	2859	666
811	2862	662
812	2865	659
813	2869	655
814	2873	652
815	2876	648
816	2880	645
817	2883	641
818	2887	638
819	2891	634
820	2894	631
821	2898	627
822	2902	624
823	2905	620
824	2909	617
825	2913	613
826	2916	610
827	2920	606
828	2924	603
829	2928	599
830	2931	596
831	2935	592
832	2938	589
833	2942	585
834	2946	582
835	2949	578
836	2953	575
837	2956	571
838	2960	568
839	2963	564
840	2967	561
841	2971	557
842	2974	553
843	2978	550
844	2980	546
845	2984	543
846	2988	539
847	2991	536
848	2995	532
849	2999	529
850	3003	525
851	3006	522
852	3010	518
853	3013	515
854	3017	511
855	3020	508
856	3024	504
857	3027	501
858	3031	497
859	3035	494
860	3038	490
861	3042	487
862	3045	483
863	3048	479
864	3051	476
865	3055	472
866	3059	469
867	3062	465
868	3066	462
869	3069	458
870	3073	455
871	3077	451
872	3080	448
873	3083	444
874	3087	441
875	3091	437
876	3094	434
877	3098	430
878	3102	427
879	3105	423
880	3109	419
881	3112	416
882	3116	412
883	3119	409
884	3123	405
885	3126	402
886	3130	398
887	3134	395
888	3137	391
889	3140	388
890	3144	384
891	3148	381
892	3151	377
893	3155	374
894	3159	370
895	3162	367
896	3166	363
897	3169	360
898	3173	356
899	3176	352
900	3180	349
901	3183	345
902	3187	342
903	3190	338
904	3194	335
905	3197	331
906	3201	328
907	3204	324
908	3208	321
909	3213	317
910	3217	314
911	3221	310
912	3224	307
913	3228	303
914	3231	300
915	3236	296
916	3240	293
917	3244	289
918	3247	286
919	3251	282
920	3254	279
921	3258	275
922	3262	272
923	3265	268
924	3269	265
925	3272	261
926	3276	258
927	3280	254
928	3283	250
929	3286	247
930	3290	243
931	3294	240
932	3297	236
933	3301	233
934	3305	229
935	3309	226
936	3312	222
937	3317	219
938	3321	215
939	3325	212
940	3328	208
941	3332	205
942	3336	201
943	3340	198
944	3344	194
945	3348	191
946	3351	187
947	3355	184
948	3359	180
949	3363	177
950	3366	173
951	3370	169
952	3373	166
953	3377	162
954	3381	159
955	3385	155
956	3388	152
957	3392	148
958	3396	145
959	3400	141
960	3405	138
961	3409	134
962	3413	131
963	3417	127
964	3422	124
965	3427	120
966	3431	117
967	3435	113
968	3439	110
969	3443	106
970	3448	102
971	3452	99
972	3456	95
973	3460	92
974	3464	88
975	3469	85
976	3472	81
977	3477	78
978	3481	74
979	3484	71
980	3489	67
981	3493	64
982	3496	60
983	3501	56
984	3505	53
985	3509	49
986	3512	46
987	3516	42
988	3520	39
989	3524	35
990	3528	32
991	3532	28
992	3537	24
993	3541	21
994	3545	17
995	3549	14
996	3553	10
997	3557	7
998	3561	3
999	3565	0
7
990	3745	34
991	3749	30
992	3753	26
993	3757	22
994	3760	18
995	3764	15
996	3768	11
997	3772	7
998	3775	3
999	3779	0
